normalized,total_count,num_variants,variants_with_counts
llama_3.3_70b,67,10,Llama-3.3-70B (29); LLaMA-3.3-70B (14); Llama 3.3 70B (9); Llama3.3-70B (5); LLaMA3.3-70B (4); LLaMA-3.3 70B (2); LLaMA 3.3-70B (1); Llama 3.3-70B (1); Llama-3.3 (70B) (1); Llama3.3 70B (1)
qwen_2_7b,67,4,Qwen2-7B (53); Qwen-2-7B (10); Qwen2-7b (3); Qwen2 7B (1)
mistral_7b_instruct_v_0.3,65,6,Mistral-7B-Instruct-v0.3 (56); Mistral 7B Instruct v0.3 (4); Mistral-7B-instruct-v0.3 (2); Mistral-7B Instruct v0.3 (1); Mistral-7B-Instruct-V0.3 (1); Mistral-7b-Instruct-v0.3 (1)
qwen_2.5_32b,64,5,Qwen2.5-32B (46); Qwen-2.5-32B (14); Qwen 2.5 32B (2); Qwen 2.5-32B (1); Qwen2.5 32B (1)
gemini,63,2,Gemini (62); GEMINI (1)
gpt_4v,63,2,GPT-4V (61); GPT-4v (2)
llama_13b,62,5,LLaMA-13B (50); Llama-13B (7); LLaMA-13b (3); LLaMa-13B (1); Llama 13B (1)
blip_2,62,3,BLIP-2 (49); BLIP2 (12); Blip-2 (1)
t_5_small,61,4,T5-small (48); T5-Small (11); T5 Small (1); t5-small (1)
transformer_big,58,9,Transformer-big (22); Transformer-Big (14); Transformer big (7); Transformer Big (6); Transformer-BIG (5); TRANSFORMER-BIG (1); Transformer BIG (1); transformer-BIG (1); transformer-big (1)
qwen_2.5_3b,58,5,Qwen2.5-3B (40); Qwen-2.5-3B (14); Qwen 2.5 3B (2); Qwen 2.5-3B (1); Qwen2.5 3B (1)
qwen_2.5_14b_instruct,58,4,Qwen2.5-14B-Instruct (47); Qwen-2.5-14B-Instruct (8); Qwen2.5-14B-instruct (2); Qwen2.5 14B-Instruct (1)
t_5_3b,57,2,T5-3B (53); T5-3b (4)
claude_3_opus,56,5,Claude-3-Opus (24); Claude 3 Opus (19); Claude-3 Opus (6); Claude-3-opus (6); CLAUDE-3-OPUS (1)
gpt_2_small,55,5,GPT-2 Small (23); GPT-2 small (13); GPT-2-small (12); GPT2-small (4); GPT-2-Small (3)
bert_large,55,3,BERT-large (41); BERT-Large (12); BERT-LARGE (2)
llama_3.2_1b,53,10,Llama-3.2-1B (24); Llama3.2-1B (10); LLaMA-3.2-1B (6); LLaMA3.2-1B (4); Llama 3.2 1B (4); LLaMA 3.2 1B (1); LLaMA3.2 1B (1); Llama 3.2-1B (1); Llama-3.2 1B (1); Llama3.2 1B (1)
llama_2_chat_7b,52,23,LLaMA2-Chat-7B (10); LLaMA-2-Chat-7B (6); Llama-2-Chat-7B (5); Llama-2-chat-7B (4); LLaMA-2-chat-7B (3); LLaMA2-Chat 7B (3); Llama2-Chat-7B (3); Llama-2 Chat (7B) (2); Llama2-chat-7B (2); LLAMA-2-CHAT-7B (1); LLaMA 2-CHAT-7B (1); LLaMA 2-Chat-7B (1); LLaMA-2-Chat (7B) (1); LLaMA2 (llama2-chat-7b) (1); LLaMA2-Chat-7b (1); Llama 2 Chat-7B (1); Llama 2-Chat (7B) (1); Llama 2-Chat 7B (1); Llama-2 Chat 7B (1); Llama-2-Chat (7B) (1); Llama-2-Chat 7B (1); Llama-2-chat (7B) (1); Llama2-chat-7b (1)
alpaca_7b,52,5,Alpaca-7B (43); Alpaca 7B (4); Alpaca-7b (3); ALPACA-7B (1); Alpaca (7B) (1)
gpt_j,52,2,GPT-J (51); GPT-j (1)
qwen,52,2,Qwen (51); QWEN (1)
llava_1.5,51,2,LLaVA-1.5 (48); LLaVA1.5 (3)
