normalized,total_count,num_variants,variants_with_counts
mistral_small_instruct_2409,3,2,Mistral-Small-Instruct-2409 (2); Mistral-small-Instruct-2409 (1)
mistral_v_0.2,3,2,Mistral-v0.2 (2); Mistral v0.2 (1)
mistral_v_0.3,3,2,Mistral v0.3 (2); Mistral-v0.3 (1)
mllms,3,2,MLLMs (2); Multimodal Large Language Models (MLLMs) (1)
moses,3,2,SMT (Moses) (2); Moses (1)
multilingual_transformer,3,2,multilingual Transformer (2); Multilingual Transformer (1)
multimodal_transformer,3,2,Multimodal Transformer (2); MultiModal Transformer (1)
olmo_7b_instruct,3,2,OLMo 7B Instruct (2); OLMo-7B-Instruct (1)
online_w,3,2,Online-W (2); ONLINE-W (1)
openchat,3,2,OpenChat (2); Openchat (1)
openllama,3,2,OpenLLaMA (2); OpenLlama (1)
our_model,3,2,Our Model (2); Our model (1)
pac,3,2,PAC (2); Phrase-aligned CMTG (PAC) (1)
paligemma_3b,3,2,PaliGemma-3B (2); PaliGemma 3B (1)
palm_2_m,3,2,PaLM 2-M (2); PaLM2-M (1)
palm_8b,3,2,PaLM 8B (2); PaLM-8b (1)
pangea_7b,3,2,Pangea-7B (2); Pangea (7B) (1)
phi_1,3,2,Phi-1 (2); phi-1 (1)
phi_3_mini_instruct,3,2,Phi-3-Mini-Instruct (2); Phi3-mini-Instruct (1)
polylm_13b,3,2,PolyLM-13B (2); PolyLM 13B (1)
progen,3,2,ProGen (2); PROGEN (1)
qvq_72b,3,2,QvQ-72B (2); QVQ-72B (1)
qwen_1.5_110b,3,2,Qwen1.5-110B (2); Qwen1.5 110B (1)
qwen_1.5_32b,3,2,Qwen-1.5-32B (2); Qwen1.5-32B (1)
qwen_2.5_70b,3,2,Qwen-2.5-70B (2); Qwen2.5-70B (1)
qwen_2_instruct,3,2,Qwen2-Instruct (2); Qwen-2-Instruct (1)
qwen_chat_14b,3,2,Qwen-chat-14B (2); Qwen-Chat-14B (1)
qwen_qwq_32b,3,2,Qwen-QwQ-32B (2); Qwen QwQ-32B (1)
qwen_vl_chat_7b,3,2,Qwen-VL-Chat-7B (2); Qwen-VL-chat-7B (1)
refresh,3,2,Refresh (2); REFRESH (1)
rl,3,2,RL (2); Reinforcement Learning (RL) (1)
sailor_2_8b,3,2,Sailor2 8B (2); Sailor2-8B (1)
santacoder,3,2,SantaCoder (2); Santacoder (1)
seq_2seq_transformer,3,2,Seq2Seq Transformer (2); SEQ2SEQ Transformer (1)
sheared_llama,3,2,Sheared-LLaMA (2); Sheared Llama (1)
sheared_llama_1.3b,3,2,Sheared-LLaMA-1.3B (2); Sheared Llama-1.3B (1)
small,3,2,Transformer (small) (2); GPT-Neo (small) (1)
smbop,3,2,SmBoP (2); SMBOP (1)
softmask_bert,3,2,SoftMask-BERT (2); SoftMask BERT (1)
solar,3,2,Solar (2); SOLAR (1)
soloist,3,2,SOLOIST (2); Soloist (1)
sow_reap,3,2,SOW/REAP (2); SOW-REAP (1)
st,3,2,ST (2); Seq2Seq Transformer (ST) (1)
stanza,3,2,Stanza (2); UD parser (Stanza) (1)
starcoder_15b,3,2,StarCoder-15B (2); StarCoder 15B (1)
starcoder_3b,3,2,StarCoder-3B (2); StarCoder 3B (1)
summ_n,3,2,Summ N (2); SUMM N (1)
swin_transformer,3,2,Swin Transformer (2); Swin-Transformer (1)
tango,3,2,TANGO (2); Tango (1)
text_babbage_001,3,2,text-babbage-001 (2); GPT-3 (text-babbage-001) (1)
tinyllama_1.1b_chat,3,2,TinyLlama-1.1B-Chat (2); TinyLlama-1.1B-chat (1)
topdown,3,2,TOPDOWN (2); TopDown (1)
towerbase_7b,3,2,TowerBase-7B (2); Towerbase 7B (1)
transformer_deep,3,2,Transformer-deep (2); Transformer deep (1)
translatotron_2,3,2,Translatotron 2 (2); Translatotron2 (1)
tulu_3_8b,3,2,Tulu-3-8B (2); Tulu3-8B (1)
tülu,3,2,TÜLU (2); Tülu (1)
ul_2_20b,3,2,UL2-20B (2); UL2 20B (1)
unified_vlp,3,2,Unified-VLP (2); Unified VLP (1)
unisumm,3,2,UNISUMM (2); UniSumm (1)
up_down,3,2,Up-Down (2); Up-down (1)
vanilla_nat,3,2,Vanilla NAT (2); Vanilla-NAT (1)
wizardlm_13b_v_1.2,3,2,WizardLM-13B-V1.2 (2); WizardLM-13B-v1.2 (1)
xglm_1.7b,3,2,XGLM-1.7B (2); XGLM 1.7B (1)
xlm_15,3,2,XLM-15 (2); XLM15 (1)
xlnet_large,3,2,XLNet-large (2); XLNet-Large (1)
xtts_v_2,3,2,XTTS-v2 (2); XTTS v2 (1)
yi_1.5,3,2,Yi-1.5 (2); Yi 1.5 (1)
2021,2,2,Lu et al. (2021) model (1); System of Puduppully and Lapata (2021) (1)
4_layer_transformer,2,2,Generator (4-layer transformer) (1); Tagger (4-layer transformer) (1)
acegpt_13b_chat,2,2,AceGPT-13B-Chat (1); AceGPT-13B-chat (1)
actor_critic,2,2,Actor-Critic (1); Actor-critic (1)
ada,2,2,Ada (1); GPT-3 (ada) (1)
admin,2,2,Admin (1); Transformer (Admin) (1)
afa,2,2,AFA (1); Active Forgetting Adapted (AFA) (1)
all_minilm_l_6_v_2,2,2,All-MiniLM-L6-v2 (1); all-MiniLM-L6-v2 (1)
alma_r_13b,2,2,ALMA-R 13B (1); ALMA-R-13B (1)
am_parser,2,2,AM parser (1); AM-Parser (1)
arae,2,2,ARAE (1); Adversarially Regularized Autoencoder (ARAE) (1)
attentional_s_2s,2,2,Attentional S2S (1); attentional S2S (1)
awesome_align,2,2,Awesome-align (1); awesome-align (1)
ba,2,2,BA (1); Baseline Adapted (BA) (1)
babbage,2,2,Babbage (1); GPT-3 (babbage) (1)
back_translation_model,2,2,Back Translation Model (1); back-translation model (1)
backtranslation,2,2,Backtranslation (1); backtranslation (1)
baichuan_3_turbo,2,2,Baichuan3-Turbo (1); Baichuan3-turbo (1)
baize_healthcare,2,2,Baize Healthcare (1); Baize-Healthcare (1)
bart_base_chinese,2,2,BART-base-Chinese (1); BART-base-chinese (1)
bart_ft,2,2,BART FT (1); BART-FT (1)
bart_large_xsum,2,2,BART-large-XSum (1); BART-large-xsum (1)
baseline_transformer,2,2,Baseline Transformer (1); Baseline transformer (1)
bayling_13b,2,2,BayLing-13B (1); Bayling-13B (1)
beaver_7b,2,2,Beaver-7B (1); Beaver-7b (1)
bert_base_multilingual_cased,2,2,BERT-base-multilingual-cased (1); bert-base-multilingual-cased (1)
bert_cross,2,2,BERT-Cross (1); BERT-cross (1)
bert_finetune,2,2,BERT-Finetune (1); BERT_finetune (1)
bge_m_3,2,2,BGE M3 (1); BGE-M3 (1)
bge_reranker_base,2,2,BGE-Reranker-Base (1); BGE-reranker-base (1)
bhāskara,2,2,BHĀSKARA (1); Bhāskara (1)
bi_encoder,2,2,Bi-encoder (1); bi-encoder (1)
bigbird_pegasus,2,2,BigBird-PEGASUS (1); BigBird-Pegasus (1)
biomedgpt,2,2,BioMedGPT (1); BiomedGPT (1)
blenderbot_3_175b,2,2,BlenderBot 3 (175B) (1); BlenderBot-3-175B (1)
blenderbot_3_3b,2,2,BlenderBot-3-3B (1); BlenderBot3-3B (1)
blenderbot_400m,2,2,BlenderBot-400M (1); Blenderbot-400M (1)
blip_2_opt,2,2,BLIP-2 OPT (1); BLIP2-OPT (1)
bloom_176b,2,2,BLOOM (176B) (1); BLOOM-176B (1)
bloomz_1b_1,2,2,BLOOMZ-1B1 (1); BLOOMZ-1b1 (1)
bpe_dropout,2,2,BPE Dropout (1); BPE dropout (1)
bpe_transformer,2,2,BPE Transformer (1); BPE-Transformer (1)
br,2,2,BR (1); Best-response (BR) speaker (1)
c+q,2,2,HRNN(C+Q) (1); HRNN(C+Q)+CNN(V)/TA(V) (1)
c_realm,2,2,C-REALM (1); c-REALM (1)
ca,2,2,CA (1); Cross Alignment (CA) (1)
cascaded_model,2,2,Cascaded model (1); cascaded model (1)
cdialgpt_base,2,2,CDialGPT-Base (1); CDialGPT-base (1)
cdialgpt_large,2,2,CDialGPT-Large (1); CDialGPT-large (1)
cendol_mt_5,2,2,Cendol-MT5 (1); Cendol-mT5 (1)
cfg,2,2,Context-Free Grammar (CFG) based generator (1); Cross Fusion Generator (CFG) (1)
chatharuhi,2,2,ChatHaruhi (1); Chatharuhi (1)
chinese_roberta,2,2,Chinese RoBERTa (1); Chinese-RoBERTa (1)
claude_3.5_haiku_20241022,2,2,Claude 3.5 Haiku 20241022 (1); Claude-3.5-haiku-20241022 (1)
claude_3.7_sonnet_thinking,2,2,Claude-3.7-sonnet-thinking (1); Claude3.7-Sonnet-Thinking (1)
claude_3_haiku_20240307,2,2,Claude-3-Haiku-20240307 (1); Claude-3-haiku-20240307 (1)
claude_3_opus_20240229,2,2,Claude-3-Opus-20240229 (1); Claude-3-opus-20240229 (1)
claude_4,2,2,Claude 4 (1); Claude-4 (1)
claude_haiku,2,2,Claude Haiku (1); Claude-Haiku (1)
claude_haiku_3.5,2,2,Claude Haiku 3.5 (1); Claude-Haiku-3.5 (1)
claude_instant_v_1,2,2,Claude Instant V1 (1); Claude-Instant-V1 (1)
claude_opus_4,2,2,Claude Opus 4 (1); Claude-Opus-4 (1)
claude_v_2,2,2,Claude-V2 (1); Claude-v2 (1)
coca,2,2,CoCA (1); CoCa (1)
code_2seq,2,2,Code2Seq (1); Code2seq (1)
code_expert,2,2,Code Expert (1); Code expert (1)
codegemma_7b_it,2,2,CodeGemma-7B-IT (1); CodeGemma-7B-It (1)
codegen_mono_2b,2,2,CODEGEN-MONO-2B (1); CodeGen-mono-2B (1)
codellama_instruct,2,2,CodeLlama Instruct (1); CodeLlama-Instruct (1)
codeqwen_1.5_7b,2,2,CodeQwen-1.5-7B (1); CodeQwen1.5-7B (1)
codr,2,2,CODR (1); CoDR (1)
cohere_command,2,2,Cohere Command (1); Cohere command (1)
command_r+_104b,2,2,Command R+ (104B) (1); Command R+ 104B (1)
command_r_08_2024,2,2,Command R 08-2024 (1); Command-R-08-2024 (1)
concat,2,2,CONCAT (1); Concat (1)
copy_seq_2seq,2,2,COPY seq2seq (1); Copy Seq2Seq (1)
cosmo,2,2,COSMO (1); Cosmo (1)
cs,2,2,CS (1); Multitask model with cosine softmax (CS) (1)
csanmt,2,2,CSANMT (1); CsaNMT (1)
dam,2,2,DAM (1); Deep Attention Matching Network (DAM) (1)
dancer,2,2,DANCER (1); Dancer (1)
deberta_v_2,2,2,DeBERTa-V2 (1); DeBERTa-v2 (1)
deep,2,2,DEEP (1); Transformer (deep) (1)
deep_encoder_shallow_decoder,2,2,Deep Encoder Shallow Decoder (1); Deep encoder shallow decoder (1)
deepseek_coder_base_1.3b,2,2,DeepSeek-Coder-Base 1.3B (1); DeepSeek-Coder-Base-1.3B (1)
deepseek_distill_qwen_7b,2,2,DeepSeek-Distill-Qwen-7B (1); DeepSeek-distill-Qwen-7B (1)
deepseek_janus_pro_7b,2,2,DeepSeek Janus Pro-7B (1); Deepseek-Janus-Pro-7B (1)
deepseek_llama_3_8b,2,2,DeepSeek-Llama3-8B (1); Deepseek-Llama-3-8B (1)
deepseek_llm_67b_chat,2,2,DeepSeek-LLM-67B-Chat (1); DeepSeek-llm-67B-Chat (1)
deepseek_llm_7b,2,2,DeepSeek LLM 7B (1); DeepSeek-LLM-7B (1)
deepseek_qwen_1.5b,2,2,DeepSeek-Qwen-1.5B (1); Deepseek-Qwen-1.5B (1)
deepseek_qwen_14b,2,2,DeepSeek-Qwen-14B (1); Deepseek-Qwen-14B (1)
deepseek_qwen_32b,2,2,DeepSeek-Qwen-32B (1); Deepseek-Qwen-32B (1)
deepseek_r_1_distilled_qwen_2.5_32b,2,2,DeepSeek-R1 distilled Qwen 2.5 32B (1); DeepSeek-R1-distilled-Qwen2.5-32B (1)
delphi,2,2,DELPHI (1); Delphi (1)
di_noiser,2,2,DI-NOISER (1); Di-NoiSer (1)
dinoiser,2,2,DINOISER (1); DiNoiSer (1)
discodvt,2,2,DISCODVT (1); DiscoDVT (1)
dit,2,2,DiT (1); Diffusion Transformer (DiT) (1)
diva,2,2,DIVA (1); DiVA (1)
document_level_nmt,2,2,Document-Level NMT (1); document-level NMT (1)
dr,2,2,DR (1); Domain-Repair (DR) model (1)
dragon,2,2,DRAGON (1); Dragon (1)
dst_picklist,2,2,DST-Picklist (1); DST-picklist (1)
dual,2,2,DUAL (1); Dual (1)
duco_storygan,2,2,DUCO-STORYGAN (1); DUCO-StoryGAN (1)
dygie++,2,2,DYGIE++ (1); DyGIE++ (1)
e,2,2,T(E)-Gen (1); T(E)-Ptr (1)
e_5_mistral_7b_instruct,2,2,E5-Mistral-7B-Instruct (1); e5-mistral-7B-instruct (1)
emu_2,2,2,EMU-2 (1); Emu-2 (1)
enc_dec,2,2,ENC-DEC (1); Enc-dec (1)
encoder_decoder,2,2,Encoder-Decoder (1); encoder-decoder (1)
encoder_decoder_model,2,2,Encoder-decoder model (1); encoder-decoder model (1)
end_2end,2,2,END2END (1); End2End (1)
ernie_bot_4,2,2,ERNIE-Bot-4 (1); ERNIE-Bot4 (1)
ernie_bot_4.0,2,2,ERNIE Bot 4.0 (1); ERNIE-Bot-4.0 (1)
eurus_rm_7b,2,2,Eurus RM 7B (1); Eurus-RM-7B (1)
exaone_3.5,2,2,EXAONE3.5 (1); Exaone-3.5 (1)
ext_oracle,2,2,EXT-ORACLE (1); Ext-Oracle (1)
falcon_180b_chat,2,2,Falcon 180B Chat (1); Falcon-180b-chat (1)
falcon_3_3b,2,2,Falcon-3-3B (1); Falcon3-3B (1)
falcon_instruct_40b,2,2,Falcon Instruct 40B (1); Falcon-instruct (40B) (1)
fast_align,2,2,Fast-Align (1); fast_align (1)
fasum,2,2,FASUM (1); FASum (1)
fedavg,2,2,FedAVG (1); FedAvg (1)
fedkim,2,2,FEDKIM (1); FedKIM (1)
film,2,2,FILM (1); FiLM (1)
flux_1.1_pro,2,2,FLUX 1.1 pro (1); FLUX-1.1-PRO (1)
focus,2,2,FOCUS (1); Focus (1)
frozen,2,2,FROZEN (1); Frozen (1)
fset,2,2,FSET (1); Fine-grained Sample-based Editing Transformer (FSET) (1)
funnel_transformer,2,2,Funnel Transformer (1); Funnel-Transformer (1)
gector_xlnet,2,2,GECToR XLNet (1); GECToR-XLNet (1)
gemini_1.5_pro_001,2,2,Gemini-1.5-Pro-001 (1); gemini-1.5-pro-001 (1)
gemma_1,2,2,Gemma 1 (1); Gemma-1 (1)
gemma_2_9b_pt,2,2,Gemma-2-9B-pt (1); Gemma-2-9b-pt (1)
gemma_2b_instruct,2,2,Gemma-2B-Instruct (1); Gemma-2B-instruct (1)
gemma_3_1b_it,2,2,Gemma-3-1B-IT (1); Gemma-3-1B-it (1)
gemma_instruct_7b,2,2,Gemma Instruct (7B) (1); Gemma-Instruct-7B (1)
glm_roberta_large,2,2,GLM RoBERTa Large (1); glm-roberta-large (1)
gpt_2_120m,2,2,GPT-2-120M (1); GPT2-120M (1)
gpt_2_774m,2,2,GPT-2 (774M) (1); GPT-2-774M (1)
gpt_2_based,2,2,Polyjuice (GPT-2 based) (1); Transformer (GPT-2 based) (1)
gpt_2_m,2,2,GPT-2-M (1); GPT2-M (1)
gpt_2_s,2,2,GPT-2-S (1); GPT2-S (1)
gpt_2_tiny,2,2,GPT-2 Tiny (1); GPT-2 tiny (1)
gpt_2_xl_1.5b,2,2,GPT-2 XL (1.5B) (1); GPT2-xl-1.5B (1)
gpt_3_davinci_002,2,2,GPT-3 DaVinci-002 (1); GPT-3 davinci-002 (1)
gpt_4o_audio_preview,2,2,GPT-4o-Audio-Preview (1); GPT-4o-audio-preview (1)
gpt_5_nano,2,2,GPT-5 Nano (1); GPT-5-nano (1)
gru_seq_2seq,2,2,GRU seq2seq (1); GRU-Seq2Seq (1)
guanaco_13b,2,2,Guanaco-13B (1); Guanaco-13b (1)
hahsum,2,2,HAHSum (1); HAHsum (1)
helsinki_nlp,2,2,Helsinki-NLP (1); opus-mt translation models (Helsinki-NLP) (1)
hier,2,2,HIER (1); Hier (1)
hiporank,2,2,HiPoRank (1); SELECT (HIPORANK) (1)
hydrasum,2,2,HYDRASUM (1); HydraSum (1)
ignd,2,2,IGND (1); Iterative Graph Network-based Decoder (IGND) (1)
imagen_3,2,2,Imagen 3 (1); Imagen-3 (1)
imitate_nat,2,2,Imitate-NAT (1); imitate-NAT (1)
imojie,2,2,IMOJIE (1); IMoJIE (1)
infilling_language_model,2,2,ILM (Infilling Language Model) (1); Infilling Language Model (1)
instructscore,2,2,INSTRUCTSCORE (1); InstructScore (1)
internlm_2_1.8b,2,2,InternLM2-1.8B (1); internlm2-1.8b (1)
internlm_2_chat_7b,2,2,InternLM2-Chat-7B (1); InternLM2-chat-7B (1)
internlm_xcomposer_2.5,2,2,InternLM-XComposer-2.5 (1); InternLM-XComposer2.5 (1)
internvl_2.5_8b_mpo,2,2,InternVL-2.5-8B-MPO (1); InternVL2.5-8B-MPO (1)
ivae_mi,2,2,iVAE MI (1); iVAE-MI (1)
jais_13b,2,2,Jais 13B (1); Jais-13B (1)
jais_13b_chat,2,2,Jais-13B-Chat (1); jais-13B-chat (1)
jamba_1.5_mini,2,2,Jamba 1.5 Mini (1); Jamba-1.5-Mini (1)
k_means,2,2,K-Means (1); k-means (1)
keep_it_simple,2,2,Keep it Simple (1); SIMPLIFY (KEEP-IT-SIMPLE) (1)
kerple,2,2,KERPLE (1); Kerple (1)
knowledge_enhanced_gpt_2,2,2,KnowledGe-enhanced GPT-2 (1); knowledge-enhanced GPT-2 (1)
kv_memnn,2,2,KV-MemNN (1); Key-Value Profile Memory Network (KV-MemNN) (1)
lag_vae,2,2,LAG-VAE (1); Lag VAE (1)
literal_speaker_s_0,2,2,Literal Speaker S0 (1); Literal speaker S0 (1)
llama_1.1b,2,2,LLaMA-1.1B (1); Llama-1.1B (1)
llama_2_13b_base,2,2,Llama 2 13B Base (1); Llama-2-13B-base (1)
llama_2_7b_chat_4k,2,2,LLaMA-2-7B-Chat-4k (1); Llama2-7B-chat-4k (1)
llama_2_7b_instruct,2,2,LLaMA2-7B-Instruct (1); Llama-2-7B-Instruct (1)
llama_2_base,2,2,Llama 2 Base (1); Llama2-Base (1)
llama_3.1_7b_instruct,2,2,Llama 3.1 7B Instruct (1); Llama-3.1-7B-Instruct (1)
llama_3.1_8b_i,2,2,LLaMA-3.1-8B-I (1); Llama-3.1-8B-I (1)
llama_3.1_base,2,2,Llama 3.1 Base (1); Llama3.1-base (1)
llama_3.2_8b,2,2,LLAMA-3.2-8B (1); Llama-3.2-8B (1)
llama_3.2_instruct,2,2,LLaMA-3.2-Instruct (1); Llama-3.2-Instruct (1)
llama_3.x,2,2,Llama 3.x (1); Llama-3.x (1)
llama_3_13b,2,2,LLaMA-3-13B (1); Llama-3-13B (1)
llama_3_70b_base,2,2,LLaMA3-70B-Base (1); Llama3-70B-Base (1)
llama_68m,2,2,LLaMA-68M (1); Llama-68M (1)
llama_v_2,2,2,LLaMA v2 (1); Llama v2 (1)
llava_1.5_7b_hf,2,2,LLaVA-1.5-7B-hf (1); LLaVA-1.5-7b-hf (1)
llava_hound_dpo,2,2,LLaVA-HOUND-DPO (1); LLaVA-Hound-DPO (1)
llava_vicuna,2,2,LLaVA-Vicuna (1); Llava-vicuna (1)
lm,2,2,LM (1); Language Model (LM) (1)
longchat_7b_16k,2,2,LongChat-7B-16K (1); LongChat-7b-16k (1)
longchat_7b_32k,2,2,LongChat-7B-32k (1); LongChat-7b-32k (1)
longchat_v_1.5_7b_32k,2,2,LongChat-v1.5-7B-32K (1); LongChat-v1.5-7B-32k (1)
longt_5_large,2,2,LongT5-Large (1); LongT5-large (1)
longt_5_xl,2,2,LongT5-XL (1); LongT5-xl (1)
lost_in_conversation,2,2,Lost in Conversation (1); Lost-In-Conversation (1)
lwm_text_chat_1m,2,2,LWM-Text-Chat-1M (1); LWM-text-chat-1m (1)
lyra,2,2,LYRA (1); Lyra (1)
m_2_transformer,2,2,M2 Transformer (1); M2-Transformer (1)
m_2m_1.2b,2,2,M2M-1.2B (1); m2m_1.2B (1)
machine_translation_systems,2,2,Machine Translation systems (1); machine translation systems (1)
make,2,2,MAKE (1); MaKE (1)
mass_zh,2,2,MASS-ZH (1); MASS-zh (1)
math_expert,2,2,Math Expert (1); Math expert (1)
mathoctopus,2,2,MATHOCTOPUS (1); MathOctopus (1)
mbart_25,2,2,mBART-25 (1); mBART25 (1)
mbart_50_large,2,2,X-GEAR (mBART-50-large) (1); mBART-50-large (1)
mbart_ft,2,2,MBART-FT (1); mBART-ft (1)
mc_2_llama_13b,2,2,MC2 Llama-13B (1); MC2-LLaMA-13B (1)
mdcspell,2,2,MDCSPell (1); MDCSpell (1)
mdialbart,2,2,mDIALBART (1); mDialBART (1)
mdpr,2,2,MDPR (1); mDPR (1)
me_5_base,2,2,ME5-base (1); mE5-base (1)
med_flamingo_9b,2,2,MED-FLAMINGO-9B (1); Med-Flamingo-9B (1)
medllama,2,2,MedLLaMA (1); MedLlama (1)
megatron_lm,2,2,GPT-style models (Megatron-LM) (1); Megatron-LM (1)
mice,2,2,MICE (1); MiCE (1)
minicheck_ft_5,2,2,MINICHECK-FT5 (1); MiniCheck-FT5 (1)
minicpm_v_2,2,2,MiniCPM-V2 (1); MiniCPM-v2 (1)
mistral_123b,2,2,Mistral 123B (1); Mistral-123B (1)
mistral_3_7b_instruct,2,2,Mistral-3-7B-Instruct (1); Mistral3-7B-Instruct (1)
mistral_7b_chat,2,2,Mistral-7B-Chat (1); Mistral-7B-chat (1)
mistral_7b_sft_beta,2,2,Mistral-7B-sft-beta (1); mistral-7b-sft-beta (1)
mistral_base,2,2,Mistral Base (1); Mistral-base (1)
mistral_instruct_v_0.1,2,2,Mistral instruct v0.1 (1); Mistral-Instruct-v0.1 (1)
mistral_large_123b,2,2,Mistral Large 123B (1); Mistral-Large-123B (1)
mistral_nemo_12b_instruct,2,2,Mistral-NeMo-12B-Instruct (1); Mistral-Nemo-12B-Instruct (1)
mistral_nemo_2407,2,2,Mistral Nemo 2407 (1); Mistral-Nemo-2407 (1)
mistral_small_24b_instruct,2,2,Mistral-Small 24B-Instruct (1); Mistral-Small-24B-Instruct (1)
mistral_v_0.3_7b_instruct,2,2,Mistral v0.3 7B Instruct (1); Mistral v0.3-7B Instruct (1)
mixtral_7b,2,2,Mixtral 7B (1); Mixtral-7B (1)
mixtral_8×7b_instruct,2,2,Mixtral 8×7B-Instruct (1); Mixtral-8×7B-Instruct (1)
mixtral_instruct,2,2,Mixtral-Instruct (1); Mixtral-instruct (1)
mnmt,2,2,MNMT (1); Multilingual Neural Machine Translation (MNMT) (1)
molmo_7b,2,2,Molmo-7B (1); Molmo-7b (1)
molmo_7b_d,2,2,Molmo 7B-D (1); Molmo-7B-D (1)
monot_5,2,2,MonoT5 (1); monoT5 (1)
moonshot_v_1,2,2,Moonshot v1 (1); Moonshot-v1 (1)
mosaic,2,2,MosAIC (1); Mosaic (1)
mpt_7b_chat,2,2,MPT-7B-chat (1); MPT-7b-chat (1)
mpt_chat,2,2,MPT Chat (1); MPT-Chat (1)
mt_6,2,2,MT6 (1); mT6 (1)
mtk_instruct,2,2,mTk-INSTRUCT (1); mTk-Instruct (1)
multilingual_sentence_bert,2,2,multilingual sentence BERT (1); multilingual sentence-BERT (1)
multitask,2,2,MULTITASK (1); Multitask (1)
multivers,2,2,MULTIVERS (1); MultiVerS (1)
muril,2,2,MuRIL (1); Muril (1)
musicgen,2,2,MUSICGEN (1); MusicGen (1)
n_gram,2,2,CALM (n-gram) (1); n-gram (1)
naqanet,2,2,NAQANET (1); NAQANet (1)
nart,2,2,NART (1); Non-autoregressive Transformer (NART) (1)
nat_reg,2,2,NAT-REG (1); NAT-Reg (1)
next_chat,2,2,NExT-Chat (1); Next-Chat (1)
nic,2,2,NIC (1); Neural Image Caption (NIC) (1)
nllb_200_distilled_1.3b,2,2,NLLB-200-Distilled 1.3B (1); NLLB-200-distilled-1.3B (1)
ntemp+ar,2,2,NTEMP+AR (1); NTemp+AR (1)
nums_2t,2,2,NUMS2T (1); NumS2T (1)
ofa_base,2,2,OFA-Base (1); OFA-base (1)
olmo_2,2,2,OLMo 2 (1); OLMo2 (1)
olmo_7b_sft,2,2,OLMO-7B-SFT (1); OLMo-7B-SFT (1)
online_g,2,2,ONLINE-G (1); Online-G (1)
online_y,2,2,ONLINE-Y (1); Online-Y (1)
openai_gpt,2,2,OpenAI GPT (1); openai-gpt (1)
openai_o_1_preview,2,2,OpenAI o1-preview (1); OpenAI-o1-preview (1)
openai_text_davinci_003,2,2,OpenAI text-davinci-003 (1); openai_text-davinci-003 (1)
openbiollm_70b,2,2,OPENBIOLLM-70B (1); OpenBioLLM-70B (1)
openllama_13b,2,2,OpenLLaMA-13B (1); OpenLlama-13B (1)
opt_iml_1.3b,2,2,OPT-IML-1.3B (1); OPT-iml-1.3B (1)
opt_iml_30b,2,2,OPT-IML-30B (1); OPT-iml-30B (1)
opt_iml_max_30b,2,2,OPT-IML-MAX-30B (1); OPT-IML-Max-30B (1)
opusmt,2,2,OpusMT (1); Transformer-Align (OpusMT) (1)
orca_2,2,2,Orca 2 (1); Orca-2 (1)
palm_2_s,2,2,PaLM 2-S (1); PaLM2-S (1)
palm_2_xxs,2,2,PaLM 2-XXS (1); PaLM-2-XXS (1)
pegasus_x,2,2,PEGASUS-X (1); Pegasus-X (1)
perspective_api,2,2,Perspective API (1); Perspective-API (1)
phi_3.5_moe,2,2,Phi-3.5-MoE (1); Phi3.5-MoE (1)
phi_3_medium_14b,2,2,Phi-3 Medium 14B (1); Phi-3-Medium-14B (1)
phi_3_mini_3b,2,2,Phi-3-mini-3B (1); Phi-3-mini-3b (1)
phi_4_mm,2,2,Phi-4-MM (1); Phi4-MM (1)
phi_4_multimodal_instruct,2,2,Phi-4-Multimodal-Instruct (1); Phi-4-multimodal-instruct (1)
planenc,2,2,PLANENC (1); PlanEnc (1)
plotmachines,2,2,PLOTMACHINES (1); PlotMachines (1)
pnbert,2,2,PNBERT (1); PNBert (1)
pointer_gen,2,2,POINTER-GEN (1); Pointer-Gen (1)
poly_encoder_transformer,2,2,Poly-Encoder Transformer (1); Poly-encoder transformer (1)
polylm_1.7b,2,2,PolyLM 1.7B (1); PolyLM-1.7B (1)
pptod,2,2,PPTOD (1); PPToD (1)
pretrained_transformers,2,2,Pretrained Transformers (1); Pretrained transformers (1)
prometheus_2,2,2,Prometheus 2 (1); Prometheus-2 (1)
prompt_tuning,2,2,Prompt Tuning (1); Prompt-tuning (1)
promptehr,2,2,PROMPTEHR (1); PromptEHR (1)
pte,2,2,PTE (1); Pruning Then Expanding (PTE) (1)
ptgen+cov,2,2,PTGEN+Cov (1); PTGen+Cov (1)
ptrnet,2,2,Pointer Generator Network (PtrNet) (1); PtrNet (1)
pymt_5,2,2,PYMT5 (1); PyMT5 (1)
q_former,2,2,Q-Former (1); Q-former (1)
qamden,2,2,QAMDEN (1); QAmden (1)
qvq_72b_preview,2,2,QVQ-72B-PREVIEW (1); QVQ-72B-Preview (1)
qwen_2.5_14b_instruct_1m,2,2,Qwen-2.5-14B-Instruct-1M (1); Qwen2.5-14B-Instruct-1M (1)
qwen_2.5_70b_instruct,2,2,Qwen-2.5-70B-Instruct (1); Qwen2.5-70B-Instruct (1)
qwen_2.5_7b_chat,2,2,Qwen2.5-7B-Chat (1); Qwen2.5-7b-Chat (1)
qwen_2.5_coder_3b_instruct,2,2,Qwen-2.5-Coder-3B-Instruct (1); Qwen2.5-Coder-3B-Instruct (1)
qwen_2.5_coder_instruct,2,2,Qwen 2.5 Coder Instruct (1); Qwen2.5-Coder-Instruct (1)
